before,after
gak,tidak
ga,tidak
nggak,tidak
ngga,tidak
gk,tidak
tdk,tidak
g,tidak
enggak,tidak
engga,tidak
kaga,tidak
kagak,tidak
gx,tidak
gpp,tidak apa-apa
gpapa,tidak apa-apa
yg,yang
yng,yang
yank,yang
dgn,dengan
dg,dengan
sm,sama
dpt,dapat
bs,bisa
bsa,bisa
bgt,banget
bgt,banget
bener,benar
bnr,benar
bngt,banget
bgt,banget
krn,karena
krna,karena
karna,karena
udh,sudah
udah,sudah
dah,sudah
ud,sudah
uda,sudah
blm,belum
blom,belum
blum,belum
tp,tapi
tpi,tapi
tp,tetapi
hrs,harus
msh,masih
msih,masih
jg,juga
jga,juga
jgn,jangan
jgn,jangan
jgn,jangan
org,orang
orng,orang
orgnya,orangnya
gmn,gimana
gmna,gimana
bgmn,bagaimana
bgmna,bagaimana
knp,kenapa
knpa,kenapa
ap,apa
apa2,apa-apa
apaan,apa
emg,memang
emang,memang
mmg,memang
mmang,memang
skrg,sekarang
skrang,sekarang
skg,sekarang
skr,sekarang
trs,terus
trus,terus
trs,terus
lg,lagi
lgi,lagi
lbh,lebih
lbih,lebih
dr,dari
dri,dari
ke,ke
k,ke
utk,untuk
buat,untuk
bt,untuk
spy,supaya
biar,supaya
klo,kalau
kalo,kalau
kl,kalau
klu,kalau
klau,kalau
kpn,kapan
kpan,kapan
dmn,dimana
dmna,dimana
mn,mana
mna,mana
spt,seperti
kyk,seperti
kyak,seperti
kaya,seperti
ky,seperti
cm,cuma
cma,cuma
doang,saja
aj,saja
aja,saja
thx,terima kasih
thanks,terima kasih
makasih,terima kasih
mksh,terima kasih
tq,terima kasih
ty,terima kasih
plz,tolong
pls,tolong
please,tolong
tlg,tolong
tolong,tolong
ok,oke
oke,oke
okay,oke
okey,oke
ya,ya
yah,ya
iya,ya
iyah,ya
yup,ya
yep,ya
yoi,ya
bro,kakak
sis,kakak
kak,kakak
mas,mas
mba,mbak
mbak,mbak
pak,bapak
bu,ibu
ibu,ibu
bpk,bapak
ibuk,ibu
nyokap,ibu
bokap,bapak
ortu,orang tua
ortunya,orang tuanya
tmn,teman
tmn2,teman-teman
temen,teman
tmen,teman
sahabat,sahabat
sobat,sahabat
beb,sayang
baby,sayang
honey,sayang
dear,sayang
love,cinta
luv,cinta
lv,cinta
miss,rindu
kangen,rindu
kanget,rindu
pengen,ingin
pgn,ingin
pen,ingin
mau,mau
mo,mau
mw,mau
pingin,ingin
pngen,ingin
pgn,ingin
suka,suka
sk,suka
ska,suka
seneng,senang
sng,senang
happy,senang
hpy,senang
sad,sedih
sedih,sedih
sdh,sedih
galau,galau
bingung,bingung
bgg,bingung
bgng,bingung
pusing,pusing
puyeng,pusing
cape,capek
capek,capek
cpk,capek
lelah,lelah
lemes,lemas
lemas,lemas
males,malas
mls,malas
malas,malas
rajin,rajin
semangat,semangat
smgt,semangat
smangat,semangat
mantap,mantap
mantul,mantap
keren,keren
krn,keren
bagus,bagus
bgs,bagus
jelek,jelek
jlek,jelek
buruk,buruk
parah,parah
prh,parah
ancur,hancur
rusak,rusak
rsk,rusak
eror,error
error,error
salah,salah
slh,salah
bener,benar
betul,betul
btl,betul
benar,benar
bnr,benar
bohong,bohong
bhn,bohong
boong,bohong
bong,bohong
jujur,jujur
jjr,jujur
honest,jujur
pasti,pasti
pst,pasti
yakin,yakin
ykn,yakin
ragu,ragu
rg,ragu
mungkin,mungkin
mgkn,mungkin
mgkin,mungkin
kayaknya,sepertinya
kynya,sepertinya
kyknya,sepertinya
sepertinya,sepertinya
sptnya,sepertinya
harusnya,seharusnya
hrsnya,seharusnya
mestinya,seharusnya
mstnya,seharusnya
seharusnya,seharusnya
sehrsnya,seharusnya
